Date,Type,Subtype,Benefit Type,Numbers
20230601,Continuous duration,One year or less,Jobseeker Support,70365.0
20230601,Continuous duration,More than one year,Jobseeker Support,102762.0
20230601,Gender,Male,Jobseeker Support,96978.0
20230601,Gender,Female,Jobseeker Support,74880.0
20230601,Gender,Gender Diverse,Jobseeker Support,1269.0
20230601,Age group,18-24 years,Jobseeker Support,33720.0
20230601,Age group,25-39 years,Jobseeker Support,54756.0
20230601,Age group,40-54 years,Jobseeker Support,47697.0
20230601,Age group,55-64 years,Jobseeker Support,36957.0
20230601,Ethnic group,European,Jobseeker Support,82050.0
20230601,Ethnic group,Māori,Jobseeker Support,67029.0
20230601,Ethnic group,Pacific Peoples,Jobseeker Support,19929.0
20230601,Ethnic group,Asian,Jobseeker Support,9963.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Jobseeker Support,3345.0
20230601,Ethnic group,Other ethnicity,Jobseeker Support,6414.0
20230601,Ethnic group,Ethnicity not specified,Jobseeker Support,8241.0
20230601,Continuous duration,One year or less,Sole Parent Support,14640.0
20230601,Continuous duration,More than one year,Sole Parent Support,59526.0
20230601,Gender,Male,Sole Parent Support,6558.0
20230601,Gender,Female,Sole Parent Support,67575.0
20230601,Gender,Gender Diverse,Sole Parent Support,30.0
20230601,Age group,18-24 years,Sole Parent Support,9612.0
20230601,Age group,25-39 years,Sole Parent Support,47439.0
20230601,Age group,40-54 years,Sole Parent Support,16158.0
20230601,Age group,55-64 years,Sole Parent Support,960.0
20230601,Ethnic group,European,Sole Parent Support,30966.0
20230601,Ethnic group,Māori,Sole Parent Support,35796.0
20230601,Ethnic group,Pacific Peoples,Sole Parent Support,11202.0
20230601,Ethnic group,Asian,Sole Parent Support,2628.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Sole Parent Support,984.0
20230601,Ethnic group,Other ethnicity,Sole Parent Support,1218.0
20230601,Ethnic group,Ethnicity not specified,Sole Parent Support,3120.0
20230601,Continuous duration,One year or less,Supported Living Payment,6030.0
20230601,Continuous duration,More than one year,Supported Living Payment,94848.0
20230601,Gender,Male,Supported Living Payment,49602.0
20230601,Gender,Female,Supported Living Payment,51051.0
20230601,Gender,Gender Diverse,Supported Living Payment,225.0
20230601,Age group,18-24 years,Supported Living Payment,7794.0
20230601,Age group,25-39 years,Supported Living Payment,20634.0
20230601,Age group,40-54 years,Supported Living Payment,32136.0
20230601,Age group,55-64 years,Supported Living Payment,40320.0
20230601,Ethnic group,European,Supported Living Payment,60327.0
20230601,Ethnic group,Māori,Supported Living Payment,26844.0
20230601,Ethnic group,Pacific Peoples,Supported Living Payment,7467.0
20230601,Ethnic group,Asian,Supported Living Payment,3738.0
20230601,Ethnic group,Middle Eastern/Latin American/African,Supported Living Payment,978.0
